1,eb6786f5fc5728e135196ad10590a114,Urban And Regional Planning,"Federal University, Gusau",M.Sc,2021-02-02 11:41:09,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Itaque iure suscipit et in rerum voluptate. Error fugiat voluptate sit. In consequuntur deleniti aut similique laboriosam saepe. Quod praesentium dolore quam inventore sint sed sapiente.
2,ba0a623ff3a04531a99362914b20563e,Education And Biology,Eastern Palm University,M.Sc,2022-03-21 11:01:12,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Ut est voluptatem et vel vel deserunt corporis qui. Non id molestiae earum dignissimos aut. Veritatis et quidem aut qui consequuntur. Possimus quia est deserunt. Quia dolor cum et at enim molestiae ratione.
3,45359991817e1256e30f3ea9eabcc147,Geophysics,Bauchi State University,M.Sc,2007-11-26 23:48:23,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Voluptatem voluptatem impedit repellat enim culpa mollitia corrupti. Magni dicta adipisci ex incidunt.
4,ae7a5a1bed94914c1df38c4494bb3766,Geography,Igbinedion University Okada,B.Eng,2017-06-07 09:41:46,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Id sint voluptatem doloremque quisquam dicta sed molestias. Labore doloremque ut recusandae et perferendis sed corrupti. Sint et ipsa consequatur et. Consequatur occaecati sit dolorem perspiciatis quas incidunt occaecati.
5,102ca5458ffdc79dc5b4b798efb33990,Guidance & Counseling,"Gregory University, Uturu",B.Sc,2020-07-21 08:23:52,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Est sed aspernatur aliquid sit fuga eum quis. Veniam sit itaque nihil placeat ipsam nihil et. Voluptas magni fuga voluptatem provident fuga recusandae.
6,6396f345753e1791c7d865ebe9ed87a9,Education And Chemistry,Taraba State University,M.Sc,2021-07-21 02:01:42,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Consectetur sed amet magni fugit ipsam. At illum sunt adipisci pariatur et. Ut et voluptas ut natus non molestiae sint vel. Fugit voluptate consequatur fugiat fugit et porro dignissimos non.
7,744577cc6f08fa64494bbc15df48008d,Home Economics And Education,"Delta State University, Abraka",B.Sc,2007-07-15 20:23:49,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,In facere laborum et ullam occaecati et. Autem fuga delectus excepturi qui nam velit libero. Fuga minus perferendis qui voluptas ut illum ullam.
8,4925f809e63123bf06d9d69a5b0ab574,Education And French,"Madonna University, Okija",B.Tech,2010-11-02 06:33:07,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Quisquam occaecati eveniet perferendis dignissimos sunt ducimus. Quos non et necessitatibus placeat. Nemo adipisci aut odit enim culpa deleniti minima. Non rerum enim ipsam ipsum harum explicabo laboriosam quo.
9,54ccec4f8d1a7484a1d7aa09abcfe37f,Microbiology,Niger Delta University,B.Eng,2011-11-05 07:05:25,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Quos sit alias eum provident. Totam porro qui animi doloremque facere et aliquid. Illo quidem at velit perspiciatis animi repellat dolorem voluptatem.
10,31c8d9e9bc6f5000f4eb2d895b9bf1d4,Geology,"Federal University, Dutsin-Ma",M.Sc,2009-04-16 19:33:58,2018-05-14 12:46:20,2018-05-14 11:46:20,2018-05-14 11:46:20,Vitae voluptatibus modi et molestiae. Sunt magnam rerum error omnis earum. Ipsam nam saepe voluptatem est nobis ea debitis. Reprehenderit ullam optio nihil tempore sit.
